freq,sex,indic_se,isco08,sizeclas,nace_r2,unit,geo\TIME_PERIOD,2022
A,F,HOL,OC1,GE10,B-N,NR,BG,22.0
A,F,HOL,OC1,GE10,B-N,NR,CH,23.0
A,F,HOL,OC1,GE10,B-N,NR,CZ,25.0
A,F,HOL,OC1,GE10,B-N,NR,DE,29.0
A,F,HOL,OC1,GE10,B-N,NR,DK,25.0
A,F,HOL,OC1,GE10,B-N,NR,EA19,27.0
A,F,HOL,OC1,GE10,B-N,NR,EA20,27.0
A,F,HOL,OC1,GE10,B-N,NR,EE,21.0
A,F,HOL,OC1,GE10,B-N,NR,EL,25.0
A,F,HOL,OC1,GE10,B-N,NR,ES,25.0
A,F,HOL,OC1,GE10,B-N,NR,EU27_2020,26.0
A,F,HOL,OC1,GE10,B-N,NR,FI,23.0
A,F,HOL,OC1,GE10,B-N,NR,FR,27.0
A,F,HOL,OC1,GE10,B-N,NR,HR,21.0
A,F,HOL,OC1,GE10,B-N,NR,HU,28.0
A,F,HOL,OC1,GE10,B-N,NR,IE,24.0
A,F,HOL,OC1,GE10,B-N,NR,IT,26.0
A,F,HOL,OC1,GE10,B-N,NR,LT,21.0
A,F,HOL,OC1,GE10,B-N,NR,LV,21.0
A,F,HOL,OC1,GE10,B-N,NR,NL,23.0
A,F,HOL,OC1,GE10,B-N,NR,NO,26.0
A,F,HOL,OC1,GE10,B-N,NR,PL,25.0
A,F,HOL,OC1,GE10,B-N,NR,PT,24.0
A,F,HOL,OC1,GE10,B-N,NR,RO,23.0
A,F,HOL,OC1,GE10,B-N,NR,RS,24.0
A,F,HOL,OC1,GE10,B-N,NR,SE,30.0
A,F,HOL,OC1,GE10,B-N,NR,SI,28.0
A,F,HOL,OC1,GE10,B-N,NR,SK,26.0
A,F,HOL,OC1,GE10,B-S,NR,BA,26.0
A,F,HOL,OC1,GE10,B-S,NR,BG,28.0
A,F,HOL,OC1,GE10,B-S,NR,CH,22.0
A,F,HOL,OC1,GE10,B-S,NR,CZ,29.0
A,F,HOL,OC1,GE10,B-S,NR,DE,28.0
A,F,HOL,OC1,GE10,B-S,NR,DK,25.0
A,F,HOL,OC1,GE10,B-S,NR,EE,23.0
A,F,HOL,OC1,GE10,B-S,NR,ES,26.0
A,F,HOL,OC1,GE10,B-S,NR,FI,27.0
A,F,HOL,OC1,GE10,B-S,NR,FR,28.0
A,F,HOL,OC1,GE10,B-S,NR,HR,22.0
A,F,HOL,OC1,GE10,B-S,NR,HU,32.0
A,F,HOL,OC1,GE10,B-S,NR,IE,25.0
A,F,HOL,OC1,GE10,B-S,NR,IT,29.0
A,F,HOL,OC1,GE10,B-S,NR,LT,24.0
A,F,HOL,OC1,GE10,B-S,NR,LV,24.0
A,F,HOL,OC1,GE10,B-S,NR,NL,22.0
A,F,HOL,OC1,GE10,B-S,NR,NO,26.0
A,F,HOL,OC1,GE10,B-S,NR,PL,25.0
A,F,HOL,OC1,GE10,B-S,NR,RO,25.0
A,F,HOL,OC1,GE10,B-S,NR,RS,26.0
